id;fecha;status;precio_total;metodo_de_pago;referencia;cliente_id
1;2022-05-30T09:06:01;CANCELADO;82419;CUPON;Comunicaciones Director Administrador;1
2;2022-05-30T11:05:44;RECHAZADO;44230;EFECTIVO;THX Escalinata synthesize;2
3;2022-05-30T16:50:16;RECHAZADO;95691;EFECTIVO;Rua bluetooth morph;1
4;2022-05-30T18:16:59;COMPLETO;57136;CUPON;Salchichas;2
5;2022-05-30T00:03:09;CANCELADO;86744;EFECTIVO;Lari monitor Contabilidad;2
6;2022-05-29T23:30:49;CANCELADO;95100;CUPON;Colegio;1
7;2022-05-30T08:59:11;RECHAZADO;60396;CUPON;Cantabria Amarillo;1
8;2022-05-29T21:21:30;CANCELADO;44131;CUPON;óptima;1
9;2022-05-30T07:44:19;CANCELADO;16728;CUPON;didactica primary;1
10;2022-05-30T05:43:42;PAGADO;64242;CUPON;Kwacha Avanzado;2
