id;nombre;description;precio;medida;image;image_content_type;producto_categoria_id
1;consultoria;servicios de consultoria IT;81998;M;../fake-data/blob/hipster.png;image/png;1
2;despliegues;despliegues sobre plataformas cloud;14379;XL;../fake-data/blob/hipster.png;image/png;2
3;desarrollo web;servicios;19378;XL;../fake-data/blob/hipster.png;image/png;3
4;desarrollo mobile;servicios;54007;S;../fake-data/blob/hipster.png;image/png;4
5;desarrollo IoT;servicios;70235;M;../fake-data/blob/hipster.png;image/png;5
6;instructor docente;armado de clases;20559;S;../fake-data/blob/hipster.png;image/png;6
7;integracion continua;devops;6887;L;../fake-data/blob/hipster.png;image/png;7
8;serverless;paradigma serverless;54847;XXL;../fake-data/blob/hipster.png;image/png;8
9;Instancias;Linux;3519;S;../fake-data/blob/hipster.png;image/png;9
10;Enlatados ;Ecommerce;4338;XXL;../fake-data/blob/hipster.png;image/png;10
